date,EFFR,us employment cost index,us unemployment rate,"Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States, Percent, Quarterly, Not Seasonally Adjusted",adults investing money in the stock market(%),HSCI,CCMP Index,NYA Index,us market cap,gdp change %,us bankruptcy_prc_chg,hk bankruptcy_prc_chg,fd_change
2020-03-31,0.65,140.3,3.908592904,1.376666667,55,28016800000000.0,3370000000000.0,15700000000000.0,19000000000000.0,-0.894317926034558,0.20694539740156262,-70.04761904761905,0.999954593002743
2020-06-30,0.08,140.8,13.28525668,0.686666667,55,32471400000000.0,2970000000000.0,13700000000000.0,16700000000000.0,-8.261898168535865,-31.31067157008912,162.16216216216216,24.276626793495883
2020-09-30,0.09,141.6,8.745545656,0.65,55,34118900000000.0,2670000000000.0,13300000000000.0,16000000000000.0,8.710312580992358,1.4855902568431207,6.791995148574894,-6.38595586086874
2020-12-31,0.09,142.8,7.003339083,0.863333333,56,31215100000000.0,2220000000000.0,11400000000000.0,13600000000000.0,1.7408918477949606,-10.994669011351125,50.255536626916516,1.2158413916631494
2021-03-31,0.07,144.5,6.208961643,1.316666667,56,29506800000000.0,2210000000000.0,12200000000000.0,14400000000000.0,2.6138298155390793,-2.101225492377384,-16.477702191987905,-1.195894402268693
2021-06-30,0.08,145.7,5.974534955,1.593333333,56,29241200000000.0,1990000000000.0,22644705882352.94,1990000000000.0,3.0627050176801633,2.997218232395775,-19.592760180995477,-1.6029160813622305
2021-09-30,0.08,148.0,5.126045706,1.323333333,56,19994137922077.92,2480000000000.0,22644705882352.94,2480000000000.0,2.3038067156950452,-13.032771692600994,-12.324141812042768,-2.5963210892387023
2021-12-31,0.08,149.9,4.273927648,1.536666667,58,19994137922077.92,3080000000000.0,22644705882352.94,3080000000000.0,3.4648157098503463,-7.131620878284433,0.12836970474967907,0.6911251927848177
2022-03-31,0.2,151.8,3.912086835,1.94,58,19994137922077.92,3220000000000.0,22644705882352.94,3220000000000.0,1.5190388585855659,0.5343911874631172,-37.94871794871795,1.1103439698842548
2022-06-30,1.21,154.0,3.65725598,2.93,58,19994137922077.92,2470000000000.0,22644705882352.94,2470000000000.0,2.0582309019623355,7.10908201532692,26.962809917355372,-1.4764736208857365
2022-09-30,2.56,155.8,3.597945818,3.106666667,58,19994137922077.92,3570000000000.0,22644705882352.94,3570000000000.0,1.763080123673898,3.2272796468260005,17.656631407648497,-0.5741920507078575
2022-12-31,4.1,157.6,3.610057573,3.83,61,19994137922077.92,3050000000000.0,22644705882352.94,3050000000000.0,1.5917358960053247,-6.192793589932655,15.421853388658368,-0.004874691434139934
2023-03-31,4.65,159.5,3.622812358,3.646666667,61,19994137922077.92,3840000000000.0,22644705882352.94,3840000000000.0,1.5343448421061399,12.707512366898632,14.859197124026363,-1.3896909874916925
2023-06-30,5.08,161.1,3.587329735,3.593333333,61,19994137922077.92,5630000000000.0,22644705882352.94,5630000000000.0,0.9301660004562612,5.952148482904194,-8.81585811163276,1.8305580957954526
2023-09-30,5.33,162.8,3.764248176,4.15,61,19994137922077.92,5860000000000.0,22644705882352.94,5860000000000.0,2.07120700386196,2.390690000175528,0.6864988558352403,-27.376743854962886
